NUMBER 1 CROSSHEAD;3G6310A00351;3G6310A00351;MO.217;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;5000;0;1498;835,8;1652;1498;835,8;1652;n/a;4164,2;n/a;n/a;
NUMBER 2 CROSSHEAD;3G6310A00451;3G6310A00451;MO.145;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;5000;0;1498;835,8;1652;1498;835,8;1652;n/a;4164,2;n/a;n/a;
GIMBAL INPUT ASSY. LH;3G6310A00532;3G6310A00532;MO.689;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;5000;0;1498;835,8;1652;1498;835,8;1652;n/a;4164,2;n/a;n/a;
GIMBAL INPUT ASSY. RH;3G6310A00532;3G6310A00532;MO.690;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;5000;0;1498;835,8;1652;1498;835,8;1652;n/a;4164,2;n/a;n/a;
INPUT SHAFT;3G6310V00152;3G6310V00152;933;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;5000;23500;1498;835,8;1662;1498;835,8;1662;n/a;4164,2;21838;n/a;
INPUT SHAFT;3G6310V00152;3G6310V00152;921;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;5000;23500;1498;835,8;1662;1498;835,8;1662;n/a;4164,2;21838;n/a;
MAIN GEARBOX ASSY.;3G6320A00134;3G6320A00134;V58;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;5000;0;1498;835,8;1652;1498;835,8;1652;n/a;4164,2;n/a;n/a;
FAN;3G6320V03853;3G6320V03853;141600319;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;2400;0;1498;835,8;1652;1498;835,8;1652;n/a;1564,2;n/a;n/a;
PUMP LUBRICATION;3G6320V04252;3G6320V04252;892;;OH;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;2500;0;1498;835,8;1652;1498;835,8;1652;n/a;1664,2;n/a;n/a;
PUMP LUBRICATION;3G6320V04252;3G6320V04252;896;;OH;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;2500;0;1498;835,8;1652;1498;835,8;1652;n/a;1664,2;n/a;n/a;
ROTOR BRAKE ACTUATOR ASSY;3G6352V02451;3G6352V02451;884;;OH;5/7/10;0;452;;#VALUE!;0;0;0Y 0M 0D;0;0;33000;1498;835,8;1200;#VALUE!;835,8;1200;n/a;n/a;31800;n/a;
SERVOACTUATOR ASSY;3G6730V00531;3G6730V00531;HSC230287;;OH;27/2/13;493;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;3000;0;546;342,8;1652;546;342,8;1652;n/a;2657,2;n/a;n/a;
SERVOACTUATOR ASSY;3G6730V00531;3G6730V00531;HSC223232;;OH;5/7/10;0;;0Y 0M 0D;0;0;0;0Y 0M 0D;0;3000;0;1498;835,8;1652;1498;835,8;1652;n/a;2164,2;n/a;n/a;
