Description;P/N;S/N;"Actual
Days";"Actual
Hours8";"Actual
Landings";Position
SERVOACTUATOR ASSY;3G6730V00531;HSC223232;1483;836;1652;0
SERVOACTUATOR ASSY;3G6730V00531;HSC223232;1483;836;1652;0
TAIL ROTOR SERVOACTUATOR ASSY;3G6730V00731;HSC215956;1302;863;1652;0
ENGINE UPPER MOUNT L.H.;3G7120A00351;MO.1458;1483;836;1652;1
ENGINE UPPER MOUNT L.H.;3G7120A00351;MO.1459;1483;836;1652;1
ENGINE UPPER MOUNT R.H.;3G7120A00351;MO.1460;1483;836;1652;2
ENGINE UPPER MOUNT R.H.;3G7120A00351;MO.1464;1483;836;1652;2
ENGINE MOUNTING ROD ASSY. L.H.;3G7120V00131;01669;1483;836;1652;1
ENGINE MOUNTING ROD ASSY. L.H.;3G7120V00131;01672;1483;836;1652;1
ENGINE MOUNTING ROD ASSY. R.H.;3G7120V00131;01673;1483;836;1652;2
ENGINE MOUNTING ROD ASSY. R.H.;3G7120V00131;01682;1483;836;1652;2
SHUT OFF VALVE (2 off);3G7160V01451;0548;972;597;1652;1
SHUT OFF VALVE (2 off);3G7160V01451;0597;690;447;1652;2
E.A.P.S. PANEL LH;3G7160V03751;RV1-4403;1483;836;1652;1
E.A.P.S. PANEL RH;3G7160V03851;RT8-3168;1483;836;1652;2
ENGINE RELAY BOX;3G7610V00331;S10671885;1483;836;1652;0
ENGINE RELAY BOX;3G7610V00331;S10671886;1483;836;1652;0
POWER CONTROL CABLE;3G7610V00532;0850;1483;836;1652;0
POWER CONTROL CABLE;3G7610V00532;0853;1483;836;1652;0
ENGINE CONTROL GEARBOX L.H.;3G7610V00632;0777;1483;836;1652;0
ENGINE CONTROL GEARBOX R.H.;3G7610V00632;0778;1483;836;1652;0
ENGINE CONTROL PANEL (NVG);3G7610V00852;S10746342;0;740;1416;0
FLOAT ASSY,FWD,LH;3G9560V00131;269;1577;564;1652;0
FLOAT ASSY,FWD,RH;3G9560V00231;042;253;156;1652;0
AFT FLOAT LEFT ASSY;3G9560V00332;121;230;343;1652;0
AFT FLOAT RIGHT ASSY;3G9560V00432;168;1367;564;1652;0
EMERGENCY FLOATS CONTR.PANEL;3G9560V00556;S10673077;1483;836;1652;0
INPUT MODULE SHAFT;3K6320A00136;KHI-761;1483;836;1652;0
INPUT MODULE SHAFT;3K6320A00136;KHI-776;1483;836;1652;0
Gimbal assy (input module shaft);3K6320A01132;KHI-MMC-A52;1483;836;1652;0
Gimbal assy (input module shaft);3K6320A01132;KHI-MMC-B15;1483;836;1652;0
LEFT CREW DOOR ASSY.;3P5211A00132;0305;1483;836;1652;0
RIGHT CREW DOOR ASSY.;3P5211A00232;0305;1483;836;1652;0
FUSELAGE STRUCTURE ASSY;3P5300A00133;PZL284;1483;836;1652;0
FRAME STA 3900;3P5335A10454;0066;1483;836;1652;0
FRAME STA 3900;3P5337A10454;0069;1483;836;1652;0
LEFT FRAME STA 5700;3P5338A13354;0072;1483;836;1652;0
RIGHT FRAME STA 5700;3P5338A13454;0068;1483;836;1652;0
Main Landing Gear LH Segment;3P5339A00333;0291;1483;836;1652;0
Main Landing Gear RH Segment;3P5339A00433;0293;1483;836;1652;0
NUMBER 1 DRIVE SHAFT;3T6510A00144;TBY4244;1483;836;1662;0
SHAFT ASSY. N¡ 2;3T6510A00241;TBY6242;1483;836;1668;0
SHAFT ASSY. N¡ 3;3T6510A00339;TBX7157;1483;836;1668;0
BEARING SUPPORT ASSEMBLY;3T6510A00443;TBT0816;1483;836;1652;0
COUPLING FLEXIBLE;3T6510V00152;2602;1483;836;1662;0
COUPLING FLEXIBLE;3T6510V00152;2585;1483;836;1662;0
COUPLING FLEXIBLE;3T6510V00152;2610;1483;836;1662;0
COUPLING FLEXIBLE;3T6510V00152;2448;1483;836;1662;0
COUPLING FLEXIBLE;3T6510V00152;2559;1483;836;1662;0
INTERMEDIATE GEARBOX ASSY.;3T6521A00149;TBR5009;1483;836;1652;0
IGB HOUSING ASSY CENTRE;3T6521A05135;TBF7003;1483;836;1652;0
Flange Coupling;3T6521A05657;TBG3901;1483;836;1662;0
